"Sample"	"Exp"	"input"	"filtered"	"seqtable"	"nonchim"	"ThreshReads"	"NoContamReads"
"93"	"136_5.4RT"	"Exp2"	100558	94421	87225	76876	76244	39883
"94"	"137_6.4RT"	"Exp2"	79461	74708	64558	56201	55720	41506
"95"	"138_4.4BP"	"Exp2"	77555	73368	47893	46586	45315	43892
"96"	"139_4.4CS"	"Exp2"	47475	44832	26059	25248	24314	23698
"97"	"14_1.2CH"	"Exp2"	92866	89975	83143	81080	75160	74912
"98"	"140_4.4BS"	"Exp2"	50160	47029	27294	26357	24857	24300
"99"	"141_5.4BS"	"Exp2"	61001	57265	35360	34271	33195	32321
"100"	"142_5.4BP"	"Exp2"	69536	66212	40358	38991	38213	37519
"101"	"143_5.4CS"	"Exp2"	58866	56250	36155	35056	33900	31277
"102"	"144_6.4BP"	"Exp2"	64345	61195	40801	39580	38797	36839
"103"	"145_6.4CS"	"Exp2"	47156	45240	31073	30133	29156	25560
"104"	"146_6.4BS"	"Exp2"	70125	66951	43076	41885	40439	38981
"105"	"147_T0R1"	"Exp2"	540	415	122	122	122	0
"106"	"148_T0R2"	"Exp2"	57965	55294	32017	30822	29561	29184
"107"	"149_T0R3"	"Exp2"	48991	46716	28813	27521	25821	25149
"108"	"15_1.2BP"	"Exp2"	107388	103032	79782	77898	73188	73080
"109"	"150_T0R4"	"Exp2"	67731	64647	39470	38149	36771	36337
"110"	"151_ExtractionBlank"	"Exp2"	75618	74037	69634	67023	65875	9071
"111"	"152_GvSpores"	"Exp2"	71407	69944	67758	65340	64636	4094
"112"	"153_T0R5"	"Exp2"	59309	55896	31313	30251	29235	28817
"113"	"154_T0R6"	"Exp2"	52640	49508	27424	26532	25770	25428
"114"	"16_2.2RH"	"Exp2"	92613	89059	83533	81425	75120	74515
"115"	"161_4.1CH"	"Exp2"	70392	67540	58939	57838	56483	31826
"116"	"162_4.1RH"	"Exp2"	75309	72610	66379	64793	63613	32970
"117"	"163_4.4CH"	"Exp2"	88551	85161	78745	75799	73016	30862
"118"	"164_4.4RH"	"Exp2"	56562	54256	52761	51530	51357	25837
"119"	"165_5.1CH"	"Exp2"	31452	27683	24301	23641	23326	5742
"120"	"166_5.1RH"	"Exp2"	62083	59856	57926	56887	56749	27807
"121"	"167_5.4CH"	"Exp2"	68986	66978	61245	58929	57531	29041
"122"	"168_5.4RH"	"Exp2"	66451	64253	62435	61009	60779	22246
"123"	"169_6.1CH"	"Exp2"	67427	64992	56341	54979	52567	33478
"124"	"17_2.2CH"	"Exp2"	78568	74532	67984	66261	60691	59421
"125"	"170_6.1RH"	"Exp2"	78619	75820	66037	63577	62711	36334
"126"	"171_6.4CH"	"Exp2"	60524	58380	52895	50925	49712	26065
"127"	"172_6.4RH"	"Exp2"	61938	59890	58366	56319	56245	23398
"128"	"173_4.2CH"	"Exp2"	65222	62480	58380	56138	55318	10949
"129"	"174_4.2RH"	"Exp2"	83150	80467	78404	76193	76053	33462
"130"	"175_4.5CH"	"Exp2"	72122	69835	66056	64120	62038	17485
"131"	"176_4.5RH"	"Exp2"	83701	81332	78664	76199	75283	36789
"132"	"177_5.2CH"	"Exp2"	61900	59506	51435	50239	48885	32269
"133"	"178_5.2RH"	"Exp2"	81626	78546	71707	69423	68440	38070
"134"	"179_5.5CH"	"Exp2"	59086	56947	54112	52910	51605	16785
"135"	"18_2.2BP"	"Exp2"	64138	60601	37339	36222	34902	34882
"136"	"180_5.5RH"	"Exp2"	59882	57915	56311	54626	54337	16206
"137"	"181_6.2CH"	"Exp2"	77036	74083	70042	68056	67034	16449
"138"	"182_6.2RH"	"Exp2"	81635	79163	77363	74985	74900	31940
"139"	"183_6.5CH"	"Exp2"	90415	87704	82009	80142	77324	37440
"140"	"184_6.5RH"	"Exp2"	106264	103203	99502	97782	96276	32225
"141"	"185_4.3CH"	"Exp2"	86780	83934	77015	75361	73085	40945
"142"	"186_4.3RH"	"Exp2"	77948	75924	74538	72448	71967	19800
"143"	"187_5.3CH"	"Exp2"	72097	69698	65922	64344	62331	17929
"144"	"188_5.3RH"	"Exp2"	82841	80275	78251	76729	76534	32829
"145"	"189_6.3CH"	"Exp2"	141070	135601	130605	127276	125003	32174
"146"	"19_3.2RH"	"Exp2"	77403	74077	71445	69837	69004	50184
"147"	"190_6.3RH"	"Exp2"	85302	82940	81278	79358	79063	32493
"148"	"191_Mock-2"	"Exp2"	87935	85420	74665	59654	20542	16753
"149"	"192_ExtractionBlank"	"Exp2"	67240	65550	64785	63083	62896	809
"150"	"2_3.1BP"	"Exp2"	90957	86205	58847	56969	54748	54717
"151"	"20_3.2CH"	"Exp2"	67785	64774	58400	57166	51525	44625
"152"	"21_3.2BP"	"Exp2"	67581	64234	39733	38218	37165	37109
"153"	"22_1.3RH"	"Exp2"	86783	84355	82187	77712	74407	74063
"154"	"23_1.3CH"	"Exp2"	70630	67571	63690	62015	57434	54726
"155"	"24_1.3BP"	"Exp2"	98965	94225	65158	63208	61668	61569
"156"	"25_2.3CH"	"Exp2"	108505	103155	99253	96823	82351	80618
"157"	"26_2.3CH"	"Exp2"	63198	60823	56515	55292	51402	51261
"158"	"27_2.3RH"	"Exp2"	99073	95510	92911	90023	83739	81960
"159"	"28_2.3BP"	"Exp2"	88821	84555	54037	52343	50906	50887
"160"	"29_3.3CH"	"Exp2"	46345	44166	38787	37995	31593	28378
"161"	"3_2.1CH"	"Exp2"	124941	119659	105955	104017	95895	95486
"162"	"30_3.3RH"	"Exp2"	64656	62266	60933	59782	57968	38972
"163"	"31_3.3BP"	"Exp2"	74525	70562	43697	42190	41155	41147
"164"	"32_1.4CH"	"Exp2"	72084	69733	65625	63880	60348	60186
"165"	"33_1.4RH"	"Exp2"	74171	72341	71550	68762	68189	67987
"166"	"34_1.4BP"	"Exp2"	70337	67296	37472	35842	34860	34823
"167"	"35_2.4CH"	"Exp2"	73857	72014	68724	66874	59825	59251
"168"	"36_2.4RH"	"Exp2"	89590	86809	83981	82511	79609	78213
"169"	"37_2.4BP"	"Exp2"	60004	57546	32365	31405	30559	30526
"170"	"38_3.4CH"	"Exp2"	83797	81710	78173	76182	72486	49309
"171"	"39_3.4RH"	"Exp2"	54839	53133	51785	50508	49826	49093
"172"	"4_2.1BP"	"Exp2"	87354	83285	49496	47524	45381	45350
"173"	"40_3.4BP"	"Exp2"	61929	59233	37163	36009	35228	35214
"174"	"41_1.5CH"	"Exp2"	80896	77901	71917	70210	66674	65041
"175"	"42_1.5BP"	"Exp2"	60558	57477	33638	32601	31512	31407
"176"	"43_2.5CH"	"Exp2"	46730	44924	41151	40222	38375	37502
"177"	"44_2.5RH"	"Exp2"	70395	67085	65424	63775	60984	53985
"178"	"45_2.5BP"	"Exp2"	43211	41093	23701	22982	22489	22475
"179"	"46_3.5CH"	"Exp2"	67886	64916	61018	60163	55845	55496
"180"	"47_3.5RH"	"Exp2"	70112	67308	64883	62519	61343	58717
"181"	"48_3.5BP"	"Exp2"	76431	72182	46180	44571	43497	43435
"182"	"49_3.5BS"	"Exp2"	59050	56286	32627	31511	30155	30120
"183"	"5_1.1RH"	"Exp2"	58297	55765	52383	51051	48861	48347
"184"	"50_2.5BS"	"Exp2"	45497	43647	24281	23479	22302	22291
"185"	"51_1.5BS"	"Exp2"	63986	61535	35627	34523	32749	32717
"186"	"52_2.5CS"	"Exp2"	53171	51028	28783	27726	26687	26663
"187"	"53_1.3BS"	"Exp2"	50907	48787	28629	27770	26941	26905
"188"	"54_1.3BS"	"Exp2"	62640	60137	34035	32841	31564	31551
"189"	"55_2.3BS"	"Exp2"	49028	47001	24526	23485	22545	22522
"190"	"56_3.3BS"	"Exp2"	71860	68741	40432	38584	37574	37523
"191"	"57_1.3CS"	"Exp2"	49190	46071	26543	25667	24835	24731
"192"	"58_2.3CS"	"Exp2"	51374	48757	27156	26289	25372	25327
"193"	"59_3.3CS"	"Exp2"	42965	40692	23064	22293	21445	21312
"194"	"6_3.1CH"	"Exp2"	117577	112656	103962	101883	89879	89570
"195"	"60_2.4BS"	"Exp2"	41346	39133	19882	19210	18471	18461
"196"	"61_2.4CS"	"Exp2"	38703	36629	19824	19144	18638	18502
"197"	"62_1.5CS"	"Exp2"	49287	47154	26879	26151	25116	25058
"198"	"63_1.4BS"	"Exp2"	86875	82072	50022	48407	46899	46869
"199"	"64_1.4CS"	"Exp2"	75990	71893	41040	39787	38695	38655
"200"	"65_3.4CS"	"Exp2"	47838	45313	27711	26814	25776	25739
"201"	"66_4.1BP"	"Exp2"	57803	55179	36634	35792	34101	34093
"202"	"67_4.1BS"	"Exp2"	42577	40483	22880	22163	21471	21452
"203"	"68_5.1BS"	"Exp2"	51348	48876	30233	29266	28645	28607
"204"	"69_6.1BS"	"Exp2"	58916	55999	34479	33523	32714	32581
"205"	"7_2.1CS"	"Exp2"	124130	117927	79338	76711	74371	74294
"206"	"70_4.1CS"	"Exp2"	57153	54679	32310	31313	30499	30474
"207"	"71_6.1CS"	"Exp2"	70552	67154	38802	37477	36177	36165
"208"	"72_5.1CS"	"Exp2"	78308	74551	46481	45032	43541	43417
"209"	"73_1.3RT"	"Exp2"	91869	86221	78460	69925	69688	51298
"210"	"74_2.3RT"	"Exp2"	60328	56789	49284	45310	44966	33008
"211"	"75_3.3RT"	"Exp2"	71486	68532	59336	51592	51079	42499
"212"	"76_1.4RT"	"Exp2"	53962	50537	44486	39638	39027	27508
"213"	"77_2.4RT"	"Exp2"	51072	48494	40969	34813	34425	28155
"214"	"78_3.4RT"	"Exp2"	53089	50665	44294	39871	39457	31257
"215"	"79_1.2RT"	"Exp2"	84816	80707	72040	62422	62190	52574
"216"	"8_1.1BP"	"Exp2"	107665	102595	71173	69361	65075	64910
"217"	"80_2.2RT"	"Exp2"	104603	99532	89722	75609	75107	59996
"218"	"81_3.2RT"	"Exp2"	100561	95446	83551	70707	69868	52876
"219"	"82_1.1RT"	"Exp2"	59262	55948	48800	44647	44383	35025
"220"	"83_2.1RT"	"Exp2"	90957	86491	77605	66452	65463	49652
"221"	"84_3.1RT"	"Exp2"	74677	70878	63093	52331	52106	42604
"222"	"85_1.2CS"	"Exp2"	76700	73060	48812	47354	46199	45935
"223"	"86_2.2CS"	"Exp2"	73287	70169	38770	37308	35982	35972
"224"	"87_5.2CS"	"Exp2"	101432	96422	54528	52334	50621	50518
"225"	"88_1.1BS"	"Exp2"	82698	78383	47296	45617	44637	44471
"226"	"89_2.2BS"	"Exp2"	92869	88789	55971	53844	51640	51562
"227"	"9_1.1CH"	"Exp2"	77135	73899	62666	61277	58697	58492
"228"	"90_2.1BS"	"Exp2"	56353	54065	29618	28493	27693	27636
"229"	"91_1.2BS"	"Exp2"	62482	59862	33138	31887	30654	30626
"230"	"92_3.2BS"	"Exp2"	70013	66669	36554	34916	33740	33706
"231"	"93_3.1BS"	"Exp2"	70800	67553	37305	35831	34729	34600
"232"	"94_ExtractionBlank"	"Exp2"	5302	4617	4354	2792	2423	1388
"233"	"95_Mock"	"Exp2"	65317	63106	58994	48069	43467	43467
"234"	"96_ExtractionBlank"	"Exp2"	16154	15037	14533	13103	12072	9334
"235"	"97_4.5BP"	"Exp2"	88702	84096	57659	55980	53221	51758
"236"	"98_4.5CS"	"Exp2"	88292	83513	60477	58762	56354	52633
"237"	"99_4.5BS"	"Exp2"	70334	66273	39909	38520	36465	36154
"238"	"1_GVCLHN1-BH"	"Exp3"	123120	109349	67683	62437	59804	59646
"239"	"10_GVFLHP1-BS"	"Exp3"	99381	90430	53209	51141	49038	48811
"240"	"100_GVCLHN4-BS"	"Exp3"	108427	96811	62179	58520	55755	55693
"241"	"101_GVFLHN3-BH"	"Exp3"	68799	61320	35037	33873	32611	32496
"242"	"102_GVFLHN3-BS"	"Exp3"	88288	79397	44701	43169	41771	41637
"243"	"103_GVFLHN4-BH"	"Exp3"	95202	85979	50043	47699	45728	45602
"244"	"104_GVFLHN4-BS"	"Exp3"	94387	85498	51118	49007	46533	46422
"245"	"105_GVFLHP3-BH"	"Exp3"	68950	62861	35734	34539	33356	33245
"246"	"106_GVFLHP3-BS"	"Exp3"	68902	62664	35792	34651	33017	32877
"247"	"107_GVFLHP4-BH"	"Exp3"	66511	60288	31923	30609	29560	29527
"248"	"108_GVFLHP4-BS"	"Exp3"	97602	88090	51988	49377	47131	47018
"249"	"109_GVN7HN3-BH"	"Exp3"	91949	83427	51864	49428	48787	48779
"250"	"11_GVFLHP2-BH"	"Exp3"	88298	80791	46073	44196	42455	42260
"251"	"110_GVN7HN3-BS"	"Exp3"	94486	86100	55249	52602	51603	51581
"252"	"111_GVN7HN4-BH"	"Exp3"	81142	74285	43446	41682	41122	41118
"253"	"112_GVN7HN4-BS"	"Exp3"	95593	87595	55101	52785	51890	51890
"254"	"113_GVN7HP3-BH"	"Exp3"	82853	74920	45758	43654	43031	43012
"255"	"114_GVN7HP3-BS"	"Exp3"	67460	60522	34921	33655	33066	33064
"256"	"115_GVN7HP4-BH"	"Exp3"	87156	78666	46780	45257	44413	44358
"257"	"116_GVN7HP4-BS"	"Exp3"	78053	69889	39428	37704	37215	37215
"258"	"117_RIFLHN3-BH"	"Exp3"	80407	72240	42076	40616	38864	38693
"259"	"118_RIFLHN3-BS"	"Exp3"	101340	91650	54755	52040	50203	50046
"260"	"119_RIFLHN4-BH"	"Exp3"	113509	103013	62326	59105	56610	56467
"261"	"12_GVFLHP2-BS"	"Exp3"	117863	107488	64557	61827	59146	58793
"262"	"120_RIFLHN4-BS"	"Exp3"	74645	67690	36982	35451	34085	34010
"263"	"121_RIFLHP3-BH"	"Exp3"	66706	60131	33691	32875	31036	30951
"264"	"122_RIFLHP3-BS"	"Exp3"	70174	62800	34835	33621	32390	32288
"265"	"123_RIFLHP4-BH"	"Exp3"	61537	54881	29950	27976	27140	27108
"266"	"124_RIFLHP4-BS"	"Exp3"	50648	44974	22844	21904	21172	21142
"267"	"125_RIN7HN3-BH"	"Exp3"	69035	61469	35856	34512	34152	34152
"268"	"126_RIN7HN3-BS"	"Exp3"	92006	82362	50373	48478	47785	47783
"269"	"127_RIN7HN4-BH"	"Exp3"	78983	71345	40899	39098	38549	38549
"270"	"128_RIN7HN4-BS"	"Exp3"	80972	73228	41071	39013	38565	38561
"271"	"129_RIN7HP3-BH"	"Exp3"	57798	52491	26411	25154	24829	24829
"272"	"13_GVN7HN1-BH"	"Exp3"	121628	111159	70909	67701	66714	66655
"273"	"130_RIN7HP3-BS"	"Exp3"	57821	52266	27866	26609	26244	26242
"274"	"131_RIN7HP4-BH"	"Exp3"	52867	47793	25283	24391	24036	24036
"275"	"132_RIN7HP4-BS"	"Exp3"	71488	64551	35525	33859	33204	33202
"276"	"133_GVCLHN3-BP"	"Exp3"	56135	50509	32104	30608	28893	28863
"277"	"134_GVCLHN3-CS"	"Exp3"	62771	57357	47909	47158	40745	40618
"278"	"135_GVCLHN4-BP"	"Exp3"	89856	81679	55156	52694	47780	47732
"279"	"136_GVCLHN4-CS"	"Exp3"	62762	57325	47909	47118	42869	42845
"280"	"137_GVFLHN3-BP"	"Exp3"	61735	54495	30103	29126	27424	27411
"281"	"138_GVFLHN3-CS"	"Exp3"	72574	64223	34925	33358	32349	32252
"282"	"139_GVFLHN4-BP"	"Exp3"	62485	55105	31746	30726	27580	27562
"283"	"14_GVN7HN1-BS"	"Exp3"	89102	81685	50318	48211	47316	47304
"284"	"140_GVFLHN4-CS"	"Exp3"	73838	64637	34526	32782	31512	31476
"285"	"141_GVFLHP3-BP"	"Exp3"	78560	68730	37729	36636	35015	34980
"286"	"142_GVFLHP3-CS"	"Exp3"	87010	77245	42266	41157	39116	38942
"287"	"143_GVFLHP4-BP"	"Exp3"	89287	79597	48720	46928	43149	43134
"288"	"144_GVFLHP4-CS"	"Exp3"	95287	84984	47025	44113	42454	42427
"289"	"145_GVN7HN3-BP"	"Exp3"	70032	64507	39950	38388	37523	37521
"290"	"146_GVN7HN3-CS"	"Exp3"	65713	60513	39090	37445	36363	36363
"291"	"147_GVN7HN4-BP"	"Exp3"	46276	42257	24668	23867	23315	23248
"292"	"148_GVN7HN4-CS"	"Exp3"	62168	56793	32610	31113	30502	30502
"293"	"149_GVN7HP3BP"	"Exp3"	66725	61034	36824	35513	34639	34602
"294"	"15_GVN7HN2-BH"	"Exp3"	116599	106124	63384	59642	58056	58056
"295"	"150_GVN7HP3-CS"	"Exp3"	91720	84456	52872	49921	48958	48937
"296"	"151_GVN7HP4-BP"	"Exp3"	68714	63530	40889	39634	38757	38755
"297"	"152_GVN7HP4-CS"	"Exp3"	94379	87373	54568	51491	50814	50810
"298"	"153_RIN7HN3-CS"	"Exp3"	47224	42200	22018	21031	20563	20563
"299"	"154_RIN7HN4-CS"	"Exp3"	76425	68615	42166	40778	39569	39569
"300"	"155_RIN7HP3-CS"	"Exp3"	48966	43480	22090	21122	20733	20731
"301"	"156_RIN7HP4-CS"	"Exp3"	53771	47681	25699	24467	24108	24108
"302"	"157_GVCLHN3-CH"	"Exp3"	66789	59478	48828	47251	42539	42415
"303"	"158_GVCLHN3-RH"	"Exp3"	92101	83136	75940	72660	72324	70252
"304"	"159_GVCLHN3-RS"	"Exp3"	51135	46185	44692	44589	43196	42908
"305"	"16_GVN7HN2-BS"	"Exp3"	109140	99648	62477	59729	58581	58526
"306"	"160_GVCLHN4-CH"	"Exp3"	93480	84845	72497	69027	63330	63275
"307"	"161_GVCLHN4-RH"	"Exp3"	76907	71143	66582	65022	64237	57314
"308"	"162_GVCLHN4-RS"	"Exp3"	51129	47031	45559	45319	43942	42702
"309"	"163_GVFLHN3-CH"	"Exp3"	68382	62202	49777	49148	46431	46237
"310"	"164_GVFLHN3-RH"	"Exp3"	61328	56024	53782	53717	53146	52129
"311"	"165_GVFLHN3-RS"	"Exp3"	61341	56026	52235	51995	50351	50128
"312"	"166_GVFLHN4-CH"	"Exp3"	101520	93200	82070	80535	73334	73186
"313"	"167_GVFLHN4-RH"	"Exp3"	65389	60521	55804	55435	53745	53572
"314"	"168_GVFLHN4-RS"	"Exp3"	70774	65503	63741	63622	61594	60758
"315"	"169_GVFLHP3-CH"	"Exp3"	88661	81362	64895	60994	57273	57133
"316"	"17_GVN7HP1-BH"	"Exp3"	129756	116519	67769	63536	62309	62236
"317"	"170_GVFLHP4-CH"	"Exp3"	72928	66495	53242	52140	48561	48483
"318"	"171_GVN7HN3-CH"	"Exp3"	71407	64790	53622	51671	50552	50466
"319"	"172_GVN7HN3-RH"	"Exp3"	82208	75421	70719	69545	69335	64862
"320"	"173_GVN7HN4-CH"	"Exp3"	66899	60909	51006	50290	49001	48902
"321"	"174_GVN7HN4-RH"	"Exp3"	116681	107667	100470	96580	94745	83075
"322"	"175_GVN7HN4-RS"	"Exp3"	77064	71339	69364	69182	67482	65433
"323"	"176_GVN7HP3-CH"	"Exp3"	102980	94390	83696	81504	79373	72220
"324"	"177_GVN7HP4-CH"	"Exp3"	87435	79478	63281	61550	59180	59070
"325"	"178_RIN7HN3-CH"	"Exp3"	63091	57458	46536	44371	43265	43258
"326"	"179_RIN7HN3-RH"	"Exp3"	79705	71961	66064	62578	60326	60055
"327"	"18_GVN7HP1-BS"	"Exp3"	103097	92773	54548	52305	51398	51333
"328"	"180_RIN7HN3-RS"	"Exp3"	62759	55678	53026	52853	51246	50832
"329"	"181_RIN7HN4-CH"	"Exp3"	106053	94949	76954	73439	70655	70597
"330"	"182_RIN7HN4-RH"	"Exp3"	76926	70065	66425	64220	63636	63162
"331"	"183_RIN7HN4-RS"	"Exp3"	66028	60573	57992	57917	56763	56335
"332"	"184_RIN7HP3-CH"	"Exp3"	112467	102194	86488	82219	79572	79486
"333"	"185_RIN7HP4-CH"	"Exp3"	91811	84142	66300	61070	58782	58659
"334"	"186_Unknown-RS"	"Exp3"	64297	59335	57152	56974	56044	55391
"335"	"187_139-BK"	"Exp3"	5731	4629	4407	4242	2388	1544
"336"	"188_155-BK"	"Exp3"	5986	4917	4344	4204	2387	1379
"337"	"189_187-BK"	"Exp3"	6289	4797	4614	4489	3128	2378
"338"	"19_GVN7HP2-BH"	"Exp3"	97969	88878	50193	47425	46188	46181
"339"	"190_GVN7HP2-BH"	"Exp3"	11272	10231	5186	4967	4864	4864
"340"	"191_GVCLHN2-BS"	"Exp3"	20846	18977	11295	10754	10371	10321
