SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
57_RIN7HN1-CS	RIN7HN1-CS	3	RIN7HN1	RI	Lansing	CS	HN		27	1	
58_RIN7HN2-CS	RIN7HN2-CS	3	RIN7HN2	RI	Lansing	CS	HN		27	2	
59_RIN7HP1-CS	RIN7HP1-CS	3	RIN7HP1	RI	Lansing	CS	HP		27	1	
60_RIN7HP2-CS	RIN7HP2-CS	3	RIN7HP2	RI	Lansing	CS	HP		27	2	
61_GVCLHN1-CH	GVCLHN1-CH	3	GVCLHN1	Gv	Pendelton	CH	HN		27	1	
62_GVCLHN1-RH	GVCLHN1-RH	3	GVCLHN1	Gv	Pendelton	RH	HN		27	1	
63_GVCLHN1-RS	GVCLHN1-RS	3	GVCLHN1	Gv	Pendelton	RS	HN		27	1	
64_GVCLHN2-CH	GVCLHN2-CH	3	GVCLHN2	Gv	Pendelton	CH	HN		27	2	
65_GVCLHN2-RH	GVCLHN2-RH	3	GVCLHN2	Gv	Pendelton	RH	HN		27	2	
66_GVCLHN2-RS	GVCLHN2-RS	3	GVCLHN2	Gv	Pendelton	RS	HN		27	2	
67_GVFLHN1-CH	GVFLHN1-CH	3	GVFLHN1	Gv	Florence	CH	HN		27	1	
68_GVFLHN1-RH	GVFLHN1-RH	3	GVFLHN1	Gv	Florence	RH	HN		27	1	
69_GVFLHN1-RS	GVFLHN1-RS	3	GVFLHN1	Gv	Florence	RS	HN		27	1	
70_GVFLHN2-CH	GVFLHN2-CH	3	GVFLHN2	Gv	Florence	CH	HN		27	2	
71_GVFLHN2-RH	GVFLHN2-RH	3	GVFLHN2	Gv	Florence	RH	HN		27	2	
72_GVFLHN2-RS	GVFLHN2-RS	3	GVFLHN2	Gv	Florence	RS	HN		27	2	
73_GVFLHP1-CH	GVFLHP1-CH	3	GVFLHP1	Gv	Florence	CH	HP		27	1	
74_GVFLHP2-CH	GVFLHP2-CH	3	GVFLHP2	Gv	Florence	CH	HP		27	2	
75_GVN7HN1-CH	GVN7HN1-CH	3	GVN7HN1	Gv	Lansing	CH	HN		27	1	
76_GVN7HN1-RS	GVN7HN1-RS	3	GVN7HN1	Gv	Lansing	RS	HN		27	1	
77_GVN7HN1-RH	GVN7HN1-RH	3	GVN7HN1	Gv	Lansing	RH	HN		27	1	
78_GVN7HN2-CH	GVN7HN2-CH	3	GVN7HN2	Gv	Lansing	CH	HN		27	2	
79_GVN7HN2-RH	GVN7HN2-RH	3	GVN7HN2	Gv	Lansing	RH	HN		27	2	
80_GVN7HN2-RS	GVN7HN2-RS	3	GVN7HN2	Gv	Lansing	RS	HN		27	2	
81_GVN7HP1-CH	GVN7HP1-CH	3	GVN7HP1	Gv	Lansing	CH	HP		27	1	
82_GVN7HP2-CH	GVN7HP2-CH	3	GVN7HP2	Gv	Lansing	CH	HP		27	2	
83_RIN7HN1-CH	RIN7HN1-CH	3	RIN7HN1	RI	Lansing	CH	HN		27	1	
84_RIN7HN1-RH	RIN7HN1-RH	3	RIN7HN1	RI	Lansing	RH	HN		27	1	
85_RIN7HN2-CH	RIN7HN2-CH	3	RIN7HN2	RI	Lansing	CH	HN		27	2	
86_RIN7HN2-RH	RIN7HN2-RH	3	RIN7HN2	RI	Lansing	RH	HN		27	2	
87_RIN7HP1-CH	RIN7HP1-CH	3	RIN7HP1	RI	Lansing	CH	HP		27	1	
88_RIN7HP2-CH	RIN7HP2-CH	3	RIN7HP2	RI	Lansing	CH	HP		27	2	
89_125-BK	125-BK	3	125-BK			EB					
90_29-BK	29-BK	3	29-BK			EB					
91_77-BK	77-BK	3	77-BK			EB					
92_PCRblank	PCRblank	3				PB					
93_PCRblank	PCRblank	3				PB					
94_GVN7HP2-BS	GVN7HP2-BS	3	GVN7HP2	Gv	Lansing	BS	HP		27	2	
95_GVCLHN2-CH	GVCLHN2-CH	3	GVCLHN2	Gv	Pendelton	CH	HN		27	2	
96_GVFLHN2-RS	GVFLHN2-RS	3	GVFLHN2	Gv	Florence	RS	HN		27	2	
97_GVCLHN3-BH	GVCLHN3-BH	3	GVCLHN3	Gv	Pendelton	BH	HN		27	3	
98_GVCLHN3-BS	GVCLHN3-BS	3	GVCLHN3	Gv	Pendelton	BS	HN		27	3	
99_GVCLHN4-BH	GVCLHN4-BH	3	GVCLHN4	Gv	Pendelton	BH	HN		27	4	
100_GVCLHN4-BS	GVCLHN4-BS	3	GVCLHN4	Gv	Pendelton	BS	HN		27	4	
101_GVFLHN3-BH	GVFLHN3-BH	3	GVFLHN3	Gv	Florence	BH	HN		27	3	
102_GVFLHN3-BS	GVFLHN3-BS	3	GVFLHN3	Gv	Florence	BS	HN		27	3	
103_GVFLHN4-BH	GVFLHN4-BH	3	GVFLHN4	Gv	Florence	BH	HN		27	4	
104_GVFLHN4-BS	GVFLHN4-BS	3	GVFLHN4	Gv	Florence	BS	HN		27	4	
105_GVFLHP3-BH	GVFLHP3-BH	3	GVFLHP3	Gv	Florence	BH	HP		27	3	
106_GVFLHP3-BS	GVFLHP3-BS	3	GVFLHP3	Gv	Florence	BS	HP		27	3	
107_GVFLHP4-BH	GVFLHP4-BH	3	GVFLHP4	Gv	Florence	BH	HP		27	4	
108_GVFLHP4-BS	GVFLHP4-BS	3	GVFLHP4	Gv	Florence	BS	HP		27	4	
109_GVN7HN3-BH	GVN7HN3-BH	3	GVN7HN3	Gv	Lansing	BH	HN		27	3	
110_GVN7HN3-BS	GVN7HN3-BS	3	GVN7HN3	Gv	Lansing	BS	HN		27	3	
111_GVN7HN4-BH	GVN7HN4-BH	3	GVN7HN4	Gv	Lansing	BH	HN		27	4	
112_GVN7HN4-BS	GVN7HN4-BS	3	GVN7HN4	Gv	Lansing	BS	HN		27	4	
113_GVN7HP3-BH	GVN7HP3-BH	3	GVN7HP3	Gv	Lansing	BH	HP		27	3	
114_GVN7HP3-BS	GVN7HP3-BS	3	GVN7HP3	Gv	Lansing	BS	HP		27	3	
115_GVN7HP4-BH	GVN7HP4-BH	3	GVN7HP4	Gv	Lansing	BH	HP		27	4	
116_GVN7HP4-BS	GVN7HP4-BS	3	GVN7HP4	Gv	Lansing	BS	HP		27	4	
117_RIFLHN3-BH	RIFLHN3-BH	3	RIFLHN3	RI	Florence	BH	HN		27	3	
118_RIFLHN3-BS	RIFLHN3-BS	3	RIFLHN3	RI	Florence	BS	HN		27	3	
119_RIFLHN4-BH	RIFLHN4-BH	3	RIFLHN4	RI	Florence	BH	HN		27	4	
120_RIFLHN4-BS	RIFLHN4-BS	3	RIFLHN4	RI	Florence	BS	HN		27	4	
121_RIFLHP3-BH	RIFLHP3-BH	3	RIFLHP3	RI	Florence	BH	HP		27	3	
122_RIFLHP3-BS	RIFLHP3-BS	3	RIFLHP3	RI	Florence	BS	HP		27	3	
123_RIFLHP4-BH	RIFLHP4-BH	3	RIFLHP4	RI	Florence	BH	HP		27	4	
124_RIFLHP4-BS	RIFLHP4-BS	3	RIFLHP4	RI	Florence	BS	HP		27	4	
125_RIN7HN3-BH	RIN7HN3-BH	3	RIN7HN3	RI	Lansing	BH	HN		27	3	
126_RIN7HN3-BS	RIN7HN3-BS	3	RIN7HN3	RI	Lansing	BS	HN		27	3	
127_RIN7HN4-BH	RIN7HN4-BH	3	RIN7HN4	RI	Lansing	BH	HN		27	4	
128_RIN7HN4-BS	RIN7HN4-BS	3	RIN7HN4	RI	Lansing	BS	HN		27	4	
129_RIN7HP3-BH	RIN7HP3-BH	3	RIN7HP3	RI	Lansing	BH	HP		27	3	
130_RIN7HP3-BS	RIN7HP3-BS	3	RIN7HP3	RI	Lansing	BS	HP		27	3	
131_RIN7HP4-BH	RIN7HP4-BH	3	RIN7HP4	RI	Lansing	BH	HP		27	4	
132_RIN7HP4-BS	RIN7HP4-BS	3	RIN7HP4	RI	Lansing	BS	HP		27	4	
133_GVCLHN3-BP	GVCLHN3-BP	3	GVCLHN3	Gv	Pendelton	BP	HN		27	3	
134_GVCLHN3-CS	GVCLHN3-CS	3	GVCLHN3	Gv	Pendelton	CS	HN		27	3	
135_GVCLHN4-BP	GVCLHN4-BP	3	GVCLHN4	Gv	Pendelton	BP	HN		27	4	
136_GVCLHN4-CS	GVCLHN4-CS	3	GVCLHN4	Gv	Pendelton	CS	HN		27	4	
137_GVFLHN3-BP	GVFLHN3-BP	3	GVFLHN3	Gv	Florence	BP	HN		27	3	
138_GVFLHN3-CS	GVFLHN3-CS	3	GVFLHN3	Gv	Florence	CS	HN		27	3	
139_GVFLHN4-BP	GVFLHN4-BP	3	GVFLHN4	Gv	Florence	BP	HN		27	4	
140_GVFLHN4-CS	GVFLHN4-CS	3	GVFLHN4	Gv	Florence	CS	HN		27	4	
141_GVFLHP3-BP	GVFLHP3-BP	3	GVFLHP3	Gv	Florence	BP	HP		27	3	
142_GVFLHP3-CS	GVFLHP3-CS	3	GVFLHP3	Gv	Florence	CS	HP		27	3	
143_GVFLHP4-BP	GVFLHP4-BP	3	GVFLHP4	Gv	Florence	BP	HP		27	4	
144_GVFLHP4-CS	GVFLHP4-CS	3	GVFLHP4	Gv	Florence	CS	HP		27	4	
145_GVN7HN3-BP	GVN7HN3-BP	3	GVN7HN3	Gv	Lansing	BP	HN		27	3	
146_GVN7HN3-CS	GVN7HN3-CS	3	GVN7HN3	Gv	Lansing	CS	HN		27	3	
147_GVN7HN4-BP	GVN7HN4-BP	3	GVN7HN4	Gv	Lansing	BP	HN		27	4	
148_GVN7HN4-CS	GVN7HN4-CS	3	GVN7HN4	Gv	Lansing	CS	HN		27	4	
149_GVN7HP3BP	GVN7HP3BP	3	GVN7HP3	Gv	Lansing	BP	HP		27	3	
150_GVN7HP3-CS	GVN7HP3-CS	3	GVN7HP3	Gv	Lansing	CS	HP		27	3	
151_GVN7HP4-BP	GVN7HP4-BP	3	GVN7HP4	Gv	Lansing	BP	HP		27	4	
152_GVN7HP4-CS	GVN7HP4-CS	3	GVN7HP4	Gv	Lansing	CS	HP		27	4	
153_RIN7HN3-CS	RIN7HN3-CS	3	RIN7HN3	RI	Lansing	CS	HN		27	3	
154_RIN7HN4-CS	RIN7HN4-CS	3	RIN7HN4	RI	Lansing	CS	HN		27	4	
155_RIN7HP3-CS	RIN7HP3-CS	3	RIN7HP3	RI	Lansing	CS	HP		27	3	
156_RIN7HP4-CS	RIN7HP4-CS	3	RIN7HP4	RI	Lansing	CS	HP		27	4	
157_GVCLHN3-CH	GVCLHN3-CH	3	GVCLHN3	Gv	Pendelton	CH	HN		27	3	
158_GVCLHN3-RH	GVCLHN3-RH	3	GVCLHN3	Gv	Pendelton	RH	HN		27	3	
159_GVCLHN3-RS	GVCLHN3-RS	3	GVCLHN3	Gv	Pendelton	RS	HN		27	3	
160_GVCLHN4-CH	GVCLHN4-CH	3	GVCLHN4	Gv	Pendelton	CH	HN		27	4	
161_GVCLHN4-RH	GVCLHN4-RH	3	GVCLHN4	Gv	Pendelton	RH	HN		27	4	
162_GVCLHN4-RS	GVCLHN4-RS	3	GVCLHN4	Gv	Pendelton	RS	HN		27	4	
163_GVFLHN3-CH	GVFLHN3-CH	3	GVFLHN3	Gv	Florence	CH	HN		27	3	
164_GVFLHN3-RH	GVFLHN3-RH	3	GVFLHN3	Gv	Florence	RH	HN		27	3	
165_GVFLHN3-RS	GVFLHN3-RS	3	GVFLHN3	Gv	Florence	RS	HN		27	3	
166_GVFLHN4-CH	GVFLHN4-CH	3	GVFLHN4	Gv	Florence	CH	HN		27	4	
167_GVFLHN4-RH	GVFLHN4-RH	3	GVFLHN4	Gv	Florence	RH	HN		27	4	
168_GVFLHN4-RS	GVFLHN4-RS	3	GVFLHN4	Gv	Florence	RS	HN		27	4	
169_GVFLHP3-CH	GVFLHP3-CH	3	GVFLHP3	Gv	Florence	CH	HP		27	3	
170_GVFLHP4-CH	GVFLHP4-CH	3	GVFLHP4	Gv	Florence	CH	HP		27	4	
171_GVN7HN3-CH	GVN7HN3-CH	3	GVN7HN3	Gv	Lansing	CH	HN		27	3	
172_GVN7HN3-RH	GVN7HN3-RH	3	GVN7HN3	Gv	Lansing	RH	HN		27	3	
173_GVN7HN4-CH	GVN7HN4-CH	3	GVN7HN4	Gv	Lansing	CH	HN		27	4	
174_GVN7HN4-RH	GVN7HN4-RH	3	GVN7HN4	Gv	Lansing	RH	HN		27	4	
175_GVN7HN4-RS	GVN7HN4-RS	3	GVN7HN4	Gv	Lansing	RS	HN		27	4	
176_GVN7HP3-CH	GVN7HP3-CH	3	GVN7HP3	Gv	Lansing	CH	HP		27	3	
177_GVN7HP4-CH	GVN7HP4-CH	3	GVN7HP4	Gv	Lansing	CH	HP		27	4	
178_RIN7HN3-CH	RIN7HN3-CH	3	RIN7HN3	RI	Lansing	CH	HN		27	3	
179_RIN7HN3-RH	RIN7HN3-RH	3	RIN7HN3	RI	Lansing	RH	HN		27	3	
180_RIN7HN3-RS	RIN7HN3-RS	3	RIN7HN3	RI	Lansing	RS	HN		27	3	
181_RIN7HN4-CH	RIN7HN4-CH	3	RIN7HN4	RI	Lansing	CH	HN		27	4	
182_RIN7HN4-RH	RIN7HN4-RH	3	RIN7HN4	RI	Lansing	RH	HN		27	4	
183_RIN7HN4-RS	RIN7HN4-RS	3	RIN7HN4	RI	Lansing	RS	HN		27	4	
184_RIN7HP3-CH	RIN7HP3-CH	3	RIN7HP3	RI	Lansing	CH	HP		27	3	
185_RIN7HP4-CH	RIN7HP4-CH	3	RIN7HP4	RI	Lansing	CH	HP		27	4	
186_Unknown-RS	Unknown-RS	3	Unknown			RS			27		
187_139-BK	139-BK	3	139-BK			EB					
188_155-BK	155-BK	3	155-BK			EB					
189_187-BK	187-BK	3	187-BK			EB					
190_GVN7HP2-BH	GVN7HP2-BH	3	GVN7HP2	Gv	Lansing	BH	HP		27	2	
191_GVCLHN2-BS	GVCLHN2-BS	3	GVCLHN2	Gv	Pendelton	BS	HN		27	2	
192_MockComm	MockComm	3	MockCom			MK					
