SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
26_2.3CH	2.3CH	2	2.3	Gv	Lansing	CH	HN	3	35	2	0.184
27_2.3RH	2.3RH	2	2.3	Gv	Lansing	RH	HN	3	35	2	0.16
28_2.3BP	2.3BP	2	2.3	Gv	Lansing	BP	HN	3	35	2	4.376
29_3.3CH	3.3CH	2	3.3	Gv	Lansing	CH	HN	3	35	3	0.171
30_3.3RH	3.3RH	2	3.3	Gv	Lansing	RH	HN	3	35	3	0.183
31_3.3BP	3.3BP	2	3.3	Gv	Lansing	BP	HN	3	35	3	2.606
32_1.4CH	1.4CH	2	1.4	Gv	Lansing	CH	HN	4	45	1	0.185
33_1.4RH	1.4RH	2	1.4	Gv	Lansing	RH	HN	4	45	1	0.186
34_1.4BP	1.4BP	2	1.4	Gv	Lansing	BP	HN	4	45	1	1.89
35_2.4CH	2.4CH	2	2.4	Gv	Lansing	CH	HN	4	45	2	0.166
36_2.4RH	2.4RH	2	2.4	Gv	Lansing	RH	HN	4	45	2	0.182
37_2.4BP	2.4BP	2	2.4	Gv	Lansing	BP	HN	4	45	2	3.343
38_3.4CH	3.4CH	2	3.4	Gv	Lansing	CH	HN	4	45	3	0.168
39_3.4RH	3.4RH	2	3.4	Gv	Lansing	RH	HN	4	45	3	0.179
40_3.4BP	3.4BP	2	3.4	Gv	Lansing	BP	HN	4	45	3	3.588
41_1.5CH	1.5CH	2	1.5	Gv	Lansing	CH	HN	5	65	1	0.191
42_1.5BP	1.5BP	2	1.5	Gv	Lansing	BP	HN	5	65	1	3.163
43_2.5CH	2.5CH	2	2.5	Gv	Lansing	CH	HN	5	65	2	0.185
44_2.5RH	2.5RH	2	2.5	Gv	Lansing	RH	HN	5	65	2	0.175
45_2.5BP	2.5BP	2	2.5	Gv	Lansing	BP	HN	5	65	2	4.133
46_3.5CH	3.5CH	2	3.5	Gv	Lansing	CH	HN	5	65	3	0.182
47_3.5RH	3.5RH	2	3.5	Gv	Lansing	RH	HN	5	65	3	0.171
