"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"1"	0	NA	NA	NA	NA	NA	"ASV11489"	"CH-BS"	1
"2"	0.162168204849231	1.45506989365555	3.09325291982247	0.470401202672772	0.638068405085703	NA	"ASV11644"	"CH-BS"	1
"3"	0.913138245264332	-3.2965188522936	3.03410036481927	-1.0864897188363	0.277262387092413	NA	"ASV3656"	"CH-BS"	1
"4"	15.1090372197803	-0.425263857762638	2.89495170116026	-0.146898429287161	0.883212191720637	0.972330615120305	"ASV562"	"CH-BS"	1
"5"	0	NA	NA	NA	NA	NA	"ASV2718"	"CH-BS"	1
"6"	2.8326477278552	-0.0642401589614587	2.93395001141862	-0.0218954510852069	0.982531353414693	NA	"ASV3076"	"CH-BS"	1
"7"	19.3811409972221	-7.69076386413563	2.25019071610718	-3.41782756860745	0.000631230841936099	0.0146609723336373	"ASV860"	"CH-BS"	1
"8"	1.85876790247591	4.37165607994736	3.02329625416105	1.4459899766457	NA	NA	"ASV2001"	"CH-BS"	1
"9"	0.798628740233082	3.2034143099959	3.04680696452357	1.05140048165041	NA	NA	"ASV4356"	"CH-BS"	1
"10"	9.66821954318817	-2.39600475653447	2.37388931017179	-1.00931612365746	0.312823049855394	0.674557818652851	"ASV533"	"CH-BS"	1
"11"	0	NA	NA	NA	NA	NA	"ASV8489"	"CH-BS"	1
"12"	1.23925904714445	-3.73376128874215	3.02604950804345	-1.23387316658817	NA	NA	"ASV938"	"CH-BS"	1
"13"	0.194601845819077	1.61221349046957	3.08962387024529	0.5218154565661	0.601798826826562	NA	"ASV1713"	"CH-BS"	1
"14"	1.08603136109697	-3.52853395652311	3.02952892832978	-1.16471373602906	0.244134886985171	NA	"ASV3492"	"CH-BS"	1
"15"	0	NA	NA	NA	NA	NA	"ASV4719"	"CH-BS"	1
"16"	1.06954638217453	-3.50728697176699	3.02991795796518	-1.15755179527118	0.247046990687243	NA	"ASV5436"	"CH-BS"	1
"17"	0.790501957455808	3.13667494261463	3.04804855182582	1.0290764367043	0.303443757824783	NA	"ASV4226"	"CH-BS"	1
"18"	0	NA	NA	NA	NA	NA	"ASV3044"	"CH-BS"	1
"19"	0	NA	NA	NA	NA	NA	"ASV3562"	"CH-BS"	1
