"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"1"	0.263766556967626	-1.43709142199839	3.08954609809987	-0.465146457235978	0.641826578824549	NA	"ASV11489"	"CH-CS"	1
"2"	0.465547971845305	-0.0385900456669897	3.06602386117376	-0.0125863487742774	0.989957811777666	NA	"ASV11644"	"CH-CS"	1
"3"	4.46570958047676	-5.4363048530996	2.53423168547592	-2.1451491133411	0.0319409266884997	NA	"ASV3656"	"CH-CS"	1
"4"	24.1029342403008	-1.24462322758137	2.7071749176197	-0.459749837175543	0.645695792848509	0.887561775453971	"ASV562"	"CH-CS"	1
"5"	3.9324285811303	-5.25400641431446	3.00952748035708	-1.7457911411698	NA	NA	"ASV2718"	"CH-CS"	1
"6"	2.12853899014684	0.862060216898993	2.94966780938377	0.29225671248692	NA	NA	"ASV3076"	"CH-CS"	1
"7"	6.11843029773285	-5.89064320564192	3.00726298245703	-1.95880547860469	NA	NA	"ASV860"	"CH-CS"	1
"8"	9.70256286190979	-1.8360257627166	2.40285405442756	-0.764102072422375	0.444806417395133	0.809667153581577	"ASV2001"	"CH-CS"	1
"9"	0.91211578767446	3.61528046290478	3.04535128419313	1.18714726989621	NA	NA	"ASV4356"	"CH-CS"	1
"10"	10.3183933923207	-2.38477526712633	2.04840192489295	-1.16421256890342	0.244337877867608	0.619894245701153	"ASV533"	"CH-CS"	1
"11"	0	NA	NA	NA	NA	NA	"ASV8489"	"CH-CS"	1
"12"	0.571494206763189	-2.50424490107202	3.04553739994913	-0.82226699994354	0.41092495392087	NA	"ASV938"	"CH-CS"	1
"13"	0.926587089420636	-1.22010652765887	3.01096713366165	-0.40522080564031	0.685315212923633	NA	"ASV1713"	"CH-CS"	1
"14"	0	NA	NA	NA	NA	NA	"ASV3492"	"CH-CS"	1
"15"	0	NA	NA	NA	NA	NA	"ASV4719"	"CH-CS"	1
"16"	0	NA	NA	NA	NA	NA	"ASV5436"	"CH-CS"	1
"17"	0.839512091510955	3.46110410712629	3.04815195305082	1.13547623623624	0.256175833210251	NA	"ASV4226"	"CH-CS"	1
"18"	0	NA	NA	NA	NA	NA	"ASV3044"	"CH-CS"	1
"19"	0	NA	NA	NA	NA	NA	"ASV3562"	"CH-CS"	1
"20"	0	NA	NA	NA	NA	NA	"ASV6168"	"CH-CS"	1
"21"	0	NA	NA	NA	NA	NA	"ASV10586"	"CH-CS"	1
"22"	1.51279514950116	-3.86225186082713	3.01980333198473	-1.27897463385098	0.20090598860264	NA	"ASV4474"	"CH-CS"	1
"23"	3.43545598949046	-0.326105111834452	2.92632943516811	-0.111438277562116	NA	NA	"ASV2488"	"CH-CS"	1
"24"	0.929483119176252	-3.17340625200617	3.02991487242587	-1.04735822147551	0.294934392862916	NA	"ASV1963"	"CH-CS"	1
"25"	1.00444321878135	3.7518975040985	3.0419771253353	1.23337466046361	NA	NA	"ASV5711"	"CH-CS"	1
"26"	1.12013490175426	-2.22743001371959	3.01160755031699	-0.739614965265026	0.459533658435612	NA	"ASV6986"	"CH-CS"	1
"27"	0	NA	NA	NA	NA	NA	"ASV6898"	"CH-CS"	1
"28"	2.57395325310347	-4.64263651202497	3.01287221654087	-1.54093375966514	NA	NA	"ASV3037"	"CH-CS"	1
"29"	2.63846657332014	5.09153415988418	3.01886093419626	1.68657459580521	NA	NA	"ASV4672"	"CH-CS"	1
"30"	9.71649492886455	0.222535470297323	2.89939374896471	0.076752414319988	0.938820506881737	0.983931953519429	"ASV716"	"CH-CS"	1
"31"	4.38802736064561	-3.43682426971357	2.66978988142635	-1.28730140661011	0.197989253478236	NA	"ASV3152"	"CH-CS"	1
"32"	2.92917598700934	-1.07875688863565	2.94200032649844	-0.366674632534657	NA	NA	"ASV2195"	"CH-CS"	1
"33"	0	NA	NA	NA	NA	NA	"ASV5234"	"CH-CS"	1
"34"	0.131883278483813	-0.769610864186598	3.11176907283346	-0.247322614941288	0.804658558138086	NA	"ASV8294"	"CH-CS"	1
"35"	0	NA	NA	NA	NA	NA	"ASV4669"	"CH-CS"	1
"36"	0	NA	NA	NA	NA	NA	"ASV12408"	"CH-CS"	1
"37"	4.10595117730236	-0.823480412651711	2.92356281389712	-0.281670162425554	0.778196435419851	NA	"ASV2446"	"CH-CS"	1
"38"	2.72038007668527	-4.7171269647617	3.01238528380827	-1.5659109045966	0.117369476627581	NA	"ASV5603"	"CH-CS"	1
"39"	1.07392123415438	-3.37281562137829	2.94583211819176	-1.14494495478874	0.252231960157422	NA	"ASV5186"	"CH-CS"	1
"40"	1.28697662655173	-3.64279435542691	3.02252267677972	-1.20521655086738	NA	NA	"ASV4212"	"CH-CS"	1
"41"	1.2653553186672	-3.6210682770502	3.02281486923565	-1.19791268526009	NA	NA	"ASV6283"	"CH-CS"	1
"42"	0.500490910325674	-2.28050963839123	3.05256173666636	-0.747080594963406	0.455014912858959	NA	"ASV7548"	"CH-CS"	1
"43"	13.6169538084474	2.39109511017327	2.901159842053	0.824185925750722	0.409833922782698	0.781267156462766	"ASV1128"	"CH-CS"	1
"44"	5.24806230936292	-2.35468951669791	2.93745285951156	-0.801609295302683	0.422778999003018	NA	"ASV1533"	"CH-CS"	1
"45"	2.41516985436823	-4.54813427492533	3.01352708725014	-1.50923955326897	NA	NA	"ASV5883"	"CH-CS"	1
"46"	1.85509896111124	-4.16570849194522	3.01665922293645	-1.38090125005577	0.167309325553738	NA	"ASV2856"	"CH-CS"	1
"47"	0.161011323624549	-0.5807839022306	3.11381344891935	-0.186518528408361	0.852038150230542	NA	"ASV7969"	"CH-CS"	1
