"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"1"	0	NA	NA	NA	NA	NA	"ASV11489"	"CH-BP"	1
"2"	0.201987802557829	1.90472915101482	3.09129509285696	0.616158954030649	0.537789615680766	NA	"ASV11644"	"CH-BP"	1
"3"	0	NA	NA	NA	NA	NA	"ASV3656"	"CH-BP"	1
"4"	14.1875055527603	0.36605060002448	2.62829031172649	0.139273275250947	0.889234207302427	0.99965350355208	"ASV562"	"CH-BP"	1
"5"	0	NA	NA	NA	NA	NA	"ASV2718"	"CH-BP"	1
"6"	7.67861485803618	-2.25344889101457	2.92212836800576	-0.771166973938402	0.44060796706203	0.99965350355208	"ASV3076"	"CH-BP"	1
"7"	4.2668985067143	-5.32430281131656	3.00906905499152	-1.76941861885305	NA	NA	"ASV860"	"CH-BP"	1
"8"	5.53538061558817	-1.2459118545825	2.91851981532327	-0.426898542213425	0.669453227382919	NA	"ASV2001"	"CH-BP"	1
"9"	1.15423469180437	3.91635102312886	3.03835790222115	1.28896961752461	NA	NA	"ASV4356"	"CH-BP"	1
"10"	10.2636699605517	-2.19672852099486	2.3748409783294	-0.925000259402702	0.354965772513551	0.99965350355208	"ASV533"	"CH-BP"	1
"11"	0	NA	NA	NA	NA	NA	"ASV8489"	"CH-BP"	1
"12"	8.51452240500944	-6.32178349503882	3.00612988200098	-2.10296419089877	0.0354688998378159	0.366481968495937	"ASV938"	"CH-BP"	1
"13"	1.77274207241248	-2.2296396495745	2.98972747394881	-0.745766853000017	NA	NA	"ASV1713"	"CH-BP"	1
"14"	1.82693360097363	-4.10052214428421	3.01691410193433	-1.35917762512864	0.174090309632526	NA	"ASV3492"	"CH-BP"	1
"15"	0	NA	NA	NA	NA	NA	"ASV4719"	"CH-BP"	1
"16"	1.05541842023661	-3.32212202097335	3.02668654130105	-1.09761020034315	NA	NA	"ASV5436"	"CH-BP"	1
"17"	1.97707638087529	-0.062654998962552	2.95462958491895	-0.0212057035109769	NA	NA	"ASV4226"	"CH-BP"	1
"18"	0	NA	NA	NA	NA	NA	"ASV3044"	"CH-BP"	1
"19"	0	NA	NA	NA	NA	NA	"ASV3562"	"CH-BP"	1
"20"	0	NA	NA	NA	NA	NA	"ASV6168"	"CH-BP"	1
"21"	0	NA	NA	NA	NA	NA	"ASV10586"	"CH-BP"	1
"22"	1.76561317519212	-4.05106503943543	3.01739163577074	-1.34257183966796	NA	NA	"ASV4474"	"CH-BP"	1
"23"	4.77360865116441	-0.567430018790501	2.91710138949195	-0.194518442462956	NA	NA	"ASV2488"	"CH-BP"	1
"24"	3.24509945300187	-4.92757535482722	2.93531055836657	-1.67872368420509	0.0932059078755161	NA	"ASV1963"	"CH-BP"	1
"25"	1.09073413381228	3.84721166352857	3.04002499928511	1.26551974553936	NA	NA	"ASV5711"	"CH-BP"	1
"26"	1.51352177018051	-2.66705201620468	3.00662317134699	-0.887058957577921	NA	NA	"ASV6986"	"CH-BP"	1
