"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"71"	0.515412404049349	2.68123420533346	3.07367611154201	0.872321646143885	0.383032932059448	0.474946188222853	"ASV7016"	"RH-RT"	1
"72"	0	NA	NA	NA	NA	NA	"ASV3271"	"RH-RT"	1
"73"	0	NA	NA	NA	NA	NA	"ASV1462"	"RH-RT"	1
"74"	1.17809403228297	3.79487940326049	3.03624161695517	1.24986080885951	0.211350398026156	0.386171812135117	"ASV2998"	"RH-RT"	1
"75"	0	NA	NA	NA	NA	NA	"ASV6200"	"RH-RT"	1
"76"	0	NA	NA	NA	NA	NA	"ASV5308"	"RH-RT"	1
"77"	0	NA	NA	NA	NA	NA	"ASV6416"	"RH-RT"	1
"78"	0	NA	NA	NA	NA	NA	"ASV3637"	"RH-RT"	1
"79"	0	NA	NA	NA	NA	NA	"ASV3698"	"RH-RT"	1
"80"	0	NA	NA	NA	NA	NA	"ASV5588"	"RH-RT"	1
"81"	3.70258124431791	5.47014102831442	3.01362545183644	1.81513632524607	NA	NA	"ASV1204"	"RH-RT"	1
"82"	1.25171583840556	3.93677895944216	3.03318130111657	1.29790426902373	NA	NA	"ASV875"	"RH-RT"	1
"83"	0	NA	NA	NA	NA	NA	"ASV2197"	"RH-RT"	1
"84"	14.0538594156575	7.40301270436617	3.00592181133606	2.46280947044186	0.0137853149230229	0.193763434412384	"ASV220"	"RH-RT"	1
"85"	0	NA	NA	NA	NA	NA	"ASV3933"	"RH-RT"	1
"86"	0	NA	NA	NA	NA	NA	"ASV2222"	"RH-RT"	1
"87"	1.84973096043882	4.48298652134161	3.02380281419584	1.48256576133051	NA	NA	"ASV3695"	"RH-RT"	1
"88"	0	NA	NA	NA	NA	NA	"ASV5102"	"RH-RT"	1
"89"	0	NA	NA	NA	NA	NA	"ASV4146"	"RH-RT"	1
"90"	0	NA	NA	NA	NA	NA	"ASV2332"	"RH-RT"	1
"91"	0	NA	NA	NA	NA	NA	"ASV6003"	"RH-RT"	1
"92"	35.0498342000491	-1.31651316287663	2.39304741907733	-0.550140859049185	0.582222763828675	0.646526476614548	"ASV655"	"RH-RT"	1
"93"	0.210614945278557	1.79569125025482	3.10104433670634	0.579060166602471	0.562548576418969	0.627788448477562	"ASV8750"	"RH-RT"	1
"94"	5.06574908871143	5.92525808546215	3.01080735644996	1.96799641556895	0.049068450135688	0.25329231589858	"ASV1193"	"RH-RT"	1
"95"	2.69278635950393	5.0066116534042	3.01756135471463	1.65915819593258	0.0970839189197192	0.3292892528528	"ASV1919"	"RH-RT"	1
"96"	0	NA	NA	NA	NA	NA	"ASV6510"	"RH-RT"	1
"97"	0.736303434356212	3.18383720348609	3.0533352459198	1.04274078902429	0.2970683611652	0.419257523864271	"ASV2859"	"RH-RT"	1
"98"	0	NA	NA	NA	NA	NA	"ASV1549"	"RH-RT"	1
"99"	0	NA	NA	NA	NA	NA	"ASV1908"	"RH-RT"	1
"100"	0.58904274748497	2.86901282472894	3.06527471505506	0.935972495593239	0.34928734911038	0.448984828341092	"ASV4874"	"RH-RT"	1
"101"	0	NA	NA	NA	NA	NA	"ASV2841"	"RH-RT"	1
"102"	0	NA	NA	NA	NA	NA	"ASV5693"	"RH-RT"	1
"103"	0	NA	NA	NA	NA	NA	"ASV1376"	"RH-RT"	1
"104"	0	NA	NA	NA	NA	NA	"ASV6623"	"RH-RT"	1
"105"	0	NA	NA	NA	NA	NA	"ASV2098"	"RH-RT"	1
"106"	0	NA	NA	NA	NA	NA	"ASV3077"	"RH-RT"	1
"107"	0	NA	NA	NA	NA	NA	"ASV5680"	"RH-RT"	1
"108"	0	NA	NA	NA	NA	NA	"ASV6594"	"RH-RT"	1
"109"	0	NA	NA	NA	NA	NA	"ASV7754"	"RH-RT"	1
"110"	0	NA	NA	NA	NA	NA	"ASV1875"	"RH-RT"	1
"111"	7.40516248863582	6.47563389706951	3.00839235052308	2.15252305635718	NA	NA	"ASV2906"	"RH-RT"	1
"112"	0	NA	NA	NA	NA	NA	"ASV1493"	"RH-RT"	1
"113"	0	NA	NA	NA	NA	NA	"ASV5443"	"RH-RT"	1
"114"	0	NA	NA	NA	NA	NA	"ASV6789"	"RH-RT"	1
"115"	0.505475868668537	2.69308377297319	3.07311464567272	0.876336903592368	0.380846908612439	0.474946188222853	"ASV7242"	"RH-RT"	1
"116"	0.336983912445691	2.24170986374049	3.08794904918887	0.725954291353779	0.467866792126956	0.541806454811305	"ASV1855"	"RH-RT"	1
"117"	0	NA	NA	NA	NA	NA	"ASV4553"	"RH-RT"	1
"118"	2.06164961619739	4.64906387676167	3.02157670873714	1.53862182724619	NA	NA	"ASV749"	"RH-RT"	1
"119"	0	NA	NA	NA	NA	NA	"ASV4997"	"RH-RT"	1
"120"	0	NA	NA	NA	NA	NA	"ASV5001"	"RH-RT"	1
"121"	0	NA	NA	NA	NA	NA	"ASV7924"	"RH-RT"	1
"122"	17.3124440285689	7.70456050374797	2.45234750777937	3.14170829350549	0.00167965288136676	0.0531343850520166	"ASV198"	"RH-RT"	1
"123"	0	NA	NA	NA	NA	NA	"ASV2315"	"RH-RT"	1
"124"	4.05068753790165	5.61857585023909	3.01260779957274	1.8650206810976	0.062178505408321	0.274272124191054	"ASV278"	"RH-RT"	1
"125"	0	NA	NA	NA	NA	NA	"ASV6252"	"RH-RT"	1
"126"	0	NA	NA	NA	NA	NA	"ASV1110"	"RH-RT"	1
"127"	4.08391197830003	5.61226214531293	3.0126490035876	1.86289944119929	NA	NA	"ASV2819"	"RH-RT"	1
"128"	0	NA	NA	NA	NA	NA	"ASV8693"	"RH-RT"	1
"129"	4.0391795392559	5.59658972356252	3.01275206038605	1.85763368886233	NA	NA	"ASV838"	"RH-RT"	1
"130"	0	NA	NA	NA	NA	NA	"ASV2388"	"RH-RT"	1
