ASV	Taxonomy
ASV756	Planctomycetes Phycisphaerae WD2101_soil_group
ASV2101	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1547	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV1542	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV534	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
BE51	
BE52	
BE53	
ASV530	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV531	Acidobacteria Acidobacteriia Solibacteraceae_(Subgroup_3)
BE56	
BE57	
ASV927	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
BE59	
ASV539	Proteobacteria Gammaproteobacteria Unknown_Family
ASV109	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV104	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV107	Chloroflexi Chloroflexia JG30-KF-CM45
ASV1828	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV100	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV193	Firmicutes Bacilli Bacillaceae
ASV47	Proteobacteria Deltaproteobacteria BIrii41
ASV46	Proteobacteria Gammaproteobacteria Unknown_Family
ASV45	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV44	Planctomycetes Planctomycetacia Rubinisphaeraceae
ASV43	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV42	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV41	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV4121	Bacteroidetes Bacteroidia Microscillaceae
ASV48	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV581	Planctomycetes Planctomycetacia Gemmataceae
BE248	
BE249	
ASV585	Proteobacteria Deltaproteobacteria 0319-6G20
ASV584	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV587	Proteobacteria Deltaproteobacteria Desulfarculaceae
ASV589	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV588	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
BE240	
BE241	
ASV4308	Firmicutes Bacilli Bacillaceae
ASV2204	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV1489	Chloroflexi Anaerolineae Anaerolineaceae
ASV405	Firmicutes Bacilli Paenibacillaceae
ASV1779	Planctomycetes Phycisphaerae WD2101_soil_group
ASV6114	Proteobacteria Gammaproteobacteria Cellvibrionaceae
ASV1319	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV1313	Actinobacteria Actinobacteria Streptomycetaceae
ASV1311	Planctomycetes Phycisphaerae WD2101_soil_group
ASV1316	Proteobacteria Alphaproteobacteria A0839
ASV2499	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV3145	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV2490	Proteobacteria Gammaproteobacteria Rhodanobacteraceae
ASV1006	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV321	Firmicutes Bacilli Bacillaceae
ASV323	Bacteroidetes Bacteroidia Chitinophagaceae
ASV1915	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV3592	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV1161	Actinobacteria Actinobacteria Nakamurellaceae
ASV1160	Gemmatimonadetes Longimicrobia Longimicrobiaceae
ASV2400	Bacteroidetes Bacteroidia Cytophagaceae
ASV1369	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV2409	Actinobacteria Actinobacteria Micromonosporaceae
ASV3819	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV1360	Proteobacteria Deltaproteobacteria BIrii41
ASV1186	Actinobacteria Thermoleophilia Gaiellaceae
ASV718	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV1180	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV568	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV860	Entotheonellaeota Entotheonellia Entotheonellaceae
ASV3316	Proteobacteria Alphaproteobacteria Devosiaceae
