ASV	Taxonomy
ASV492	Proteobacteria Alphaproteobacteria Sphingomonadaceae
BE213	
BE212	
BE219	
ASV38	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV39	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV6	Proteobacteria Gammaproteobacteria Cellvibrionaceae
ASV1357	Proteobacteria Gammaproteobacteria Steroidobacteraceae
ASV350	Proteobacteria Alphaproteobacteria Rhizobiaceae
BE85	
ASV8	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV1592	Proteobacteria Alphaproteobacteria Rhizobiaceae
BE84	
ASV1595	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV263	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1060	Bacteroidetes Bacteroidia Chitinophagaceae
BE95	
BE96	
BE97	
BE91	
ASV2830	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE93	
BE80	
BE98	
ASV302	Firmicutes Bacilli Paenibacillaceae
ASV301	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV2839	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
BE251	
ASV347	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV1695	Verrucomicrobia Verrucomicrobiae Verrucomicrobiaceae
ASV848	Actinobacteria Acidimicrobiia Ilumatobacteraceae
ASV849	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV2203	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV841	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
ASV842	Proteobacteria Gammaproteobacteria TRA3-20
ASV844	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV845	Planctomycetes Phycisphaerae Phycisphaeraceae
BE88	
BE70	
ASV2633	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1282	Proteobacteria Deltaproteobacteria Haliangiaceae
BE197	
ASV1114	Firmicutes Bacilli Planococcaceae
ASV1116	Planctomycetes Planctomycetacia Pirellulaceae
ASV1443	Actinobacteria Actinobacteria Streptomycetaceae
ASV1113	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV602	Spirochaetes Spirochaetia Spirochaetaceae
ASV169	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV163	Bacteroidetes Bacteroidia Flavobacteriaceae
ASV162	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV161	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV167	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV166	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV2111	Bacteroidetes Bacteroidia Microscillaceae
ASV712	Actinobacteria Actinobacteria Nocardioidaceae
ASV2116	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV765	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV761	Planctomycetes Planctomycetacia Rubinisphaeraceae
ASV4621	Proteobacteria Deltaproteobacteria Myxococcaceae
ASV1231	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV1237	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV905	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
BE27	
BE26	
BE29	
ASV2210	Proteobacteria Deltaproteobacteria BIrii41
ASV188	Deinococcus-Thermus Deinococci Deinococcaceae
ASV3772	Firmicutes Bacilli Planococcaceae
ASV117	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV114	Proteobacteria Alphaproteobacteria Beijerinckiaceae
ASV502	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV112	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV113	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV110	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV111	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV393	Proteobacteria Gammaproteobacteria Pseudomonadaceae
ASV455	Proteobacteria Gammaproteobacteria SC-I-84
ASV693	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV697	Bacteroidetes Bacteroidia Sphingobacteriaceae
BE259	
BE258	
ASV78	Actinobacteria Actinobacteria Mycobacteriaceae
ASV591	Proteobacteria Gammaproteobacteria SC-I-84
ASV597	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV985	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV73	Proteobacteria Alphaproteobacteria Hyphomicrobiaceae
ASV71	Proteobacteria Deltaproteobacteria Oligoflexaceae
ASV76	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV77	Proteobacteria Alphaproteobacteria Azospirillaceae
ASV74	Proteobacteria Gammaproteobacteria Steroidobacteraceae
BE256	
ASV2579	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV825	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV341	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV340	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV431	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV430	Bacteroidetes Bacteroidia Spirosomaceae
ASV344	Bacteroidetes Bacteroidia Chitinophagaceae
ASV349	Proteobacteria Alphaproteobacteria Dongiaceae
ASV348	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV439	Proteobacteria Gammaproteobacteria A21b
ASV3875	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV184	Proteobacteria Gammaproteobacteria Unknown_Family
ASV187	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV180	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV1306	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV189	Proteobacteria Gammaproteobacteria SC-I-84
ASV1652	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV2508	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV3190	Proteobacteria Deltaproteobacteria Haliangiaceae
