SampleID	Sample	DNA_conc
117_RIFLHN3-BH	RIFLHN3-BH	0.53
118_RIFLHN3-BS	RIFLHN3-BS	2.81
119_RIFLHN4-BH	RIFLHN4-BH	17
120_RIFLHN4-BS	RIFLHN4-BS	16.2
121_RIFLHP3-BH	RIFLHP3-BH	12.1
122_RIFLHP3-BS	RIFLHP3-BS	6.01
123_RIFLHP4-BH	RIFLHP4-BH	18
124_RIFLHP4-BS	RIFLHP4-BS	19.9
125_RIN7HN3-BH	RIN7HN3-BH	58
126_RIN7HN3-BS	RIN7HN3-BS	39.8
127_RIN7HN4-BH	RIN7HN4-BH	59
128_RIN7HN4-BS	RIN7HN4-BS	60
129_RIN7HP3-BH	RIN7HP3-BH	12.4
130_RIN7HP3-BS	RIN7HP3-BS	1.13
131_RIN7HP4-BH	RIN7HP4-BH	34.1
132_RIN7HP4-BS	RIN7HP4-BS	49.1
133_GVCLHN3-BP	GVCLHN3-BP	0.983
134_GVCLHN3-CS	GVCLHN3-CS	0.143
135_GVCLHN4-BP	GVCLHN4-BP	0.996
136_GVCLHN4-CS	GVCLHN4-CS	0.164
137_GVFLHN3-BP	GVFLHN3-BP	2.36
138_GVFLHN3-CS	GVFLHN3-CS	1.56
139_GVFLHN4-BP	GVFLHN4-BP	1.7
140_GVFLHN4-CS	GVFLHN4-CS	1.9
141_GVFLHP3-BP	GVFLHP3-BP	2.23
142_GVFLHP3-CS	GVFLHP3-CS	6
143_GVFLHP4-BP	GVFLHP4-BP	1.59
144_GVFLHP4-CS	GVFLHP4-CS	2.64
145_GVN7HN3-BP	GVN7HN3-BP	4.28
146_GVN7HN3-CS	GVN7HN3-CS	0.722
147_GVN7HN4-BP	GVN7HN4-BP	2.97
148_GVN7HN4-CS	GVN7HN4-CS	4.45
149_GVN7HP3BP	GVN7HP3BP	6.56
150_GVN7HP3-CS	GVN7HP3-CS	1.6
151_GVN7HP4-BP	GVN7HP4-BP	7.84
152_GVN7HP4-CS	GVN7HP4-CS	6.87
153_RIN7HN3-CS	RIN7HN3-CS	3.69
154_RIN7HN4-CS	RIN7HN4-CS	1.39
155_RIN7HP3-CS	RIN7HP3-CS	2.89
156_RIN7HP4-CS	RIN7HP4-CS	4.74
157_GVCLHN3-CH	GVCLHN3-CH	0.258
158_GVCLHN3-RH	GVCLHN3-RH	0.241
159_GVCLHN3-RS	GVCLHN3-RS	0.083
160_GVCLHN4-CH	GVCLHN4-CH	0.211
161_GVCLHN4-RH	GVCLHN4-RH	0.177
162_GVCLHN4-RS	GVCLHN4-RS	0
163_GVFLHN3-CH	GVFLHN3-CH	0.299
164_GVFLHN3-RH	GVFLHN3-RH	0.114
165_GVFLHN3-RS	GVFLHN3-RS	0.135
166_GVFLHN4-CH	GVFLHN4-CH	0.207
167_GVFLHN4-RH	GVFLHN4-RH	0.118
168_GVFLHN4-RS	GVFLHN4-RS	0.08
169_GVFLHP3-CH	GVFLHP3-CH	0.362
170_GVFLHP4-CH	GVFLHP4-CH	0.253
171_GVN7HN3-CH	GVN7HN3-CH	0.115
172_GVN7HN3-RH	GVN7HN3-RH	0.197
173_GVN7HN4-CH	GVN7HN4-CH	0.11
174_GVN7HN4-RH	GVN7HN4-RH	0.217
175_GVN7HN4-RS	GVN7HN4-RS	0.07
176_GVN7HP3-CH	GVN7HP3-CH	0
177_GVN7HP4-CH	GVN7HP4-CH	0.134
178_RIN7HN3-CH	RIN7HN3-CH	0.228
179_RIN7HN3-RH	RIN7HN3-RH	0.223
180_RIN7HN3-RS	RIN7HN3-RS	0.09
181_RIN7HN4-CH	RIN7HN4-CH	0.373
182_RIN7HN4-RH	RIN7HN4-RH	0.096
183_RIN7HN4-RS	RIN7HN4-RS	0.075
184_RIN7HP3-CH	RIN7HP3-CH	0.331
185_RIN7HP4-CH	RIN7HP4-CH	0.484
186_Unknown-RS	Unknown-RS	0.09
187_139-BK	139-BK	0
188_155-BK	155-BK	0
189_187-BK	187-BK	0
190_GVN7HP2-BH	GVN7HP2-BH	58
191_GVCLHN2-BS	GVCLHN2-BS	2.44
192_MockComm	MockComm	0
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
